Review_Year,Review_Month,Reviewer_Score,Type
2015,8,8.378059006211181,"whole"
2015,9,8.255557807275308,"whole"
2015,10,8.195709740326388,"whole"
2015,11,8.316387904297741,"whole"
2015,12,8.466291069336755,"whole"
2016,1,8.521030240902101,"whole"
2016,2,8.545645948239288,"whole"
2016,3,8.518424604704975,"whole"
2016,4,8.479209534006797,"whole"
2016,5,8.439642841662694,"whole"
2016,6,8.409397832004203,"whole"
2016,7,8.389619470735948,"whole"
2016,8,8.44044144606585,"whole"
2016,9,8.321172322609078,"whole"
2016,10,8.314271051443118,"whole"
2016,11,8.361477057050351,"whole"
2016,12,8.394750922509226,"whole"
2017,1,8.45397288105649,"whole"
2017,2,8.511063851593727,"whole"
2017,3,8.440523421388589,"whole"
2017,4,8.383674422951126,"whole"
2017,5,8.323310132798156,"whole"
2017,6,8.37427009792758,"whole"
2017,7,8.275688132121369,"whole"
2017,8,8.37932810201079,"whole"
2015,8,8.504855923159019,"Amsterdam"
2015,9,8.446813310772702,"Amsterdam"
2015,10,8.41008,"Amsterdam"
2015,11,8.458687664041994,"Amsterdam"
2015,12,8.59562002275313,"Amsterdam"
2016,1,8.646569741026806,"Amsterdam"
2016,2,8.654964705882353,"Amsterdam"
2016,3,8.532575426322694,"Amsterdam"
2016,4,8.356684714702208,"Amsterdam"
2016,5,8.380340494527767,"Amsterdam"
2016,6,8.419711538461538,"Amsterdam"
2016,7,8.438664323374342,"Amsterdam"
2016,8,8.488577586206898,"Amsterdam"
2016,9,8.457543017206884,"Amsterdam"
2016,10,8.345366379310345,"Amsterdam"
2016,11,8.389684106614018,"Amsterdam"
2016,12,8.623551479783243,"Amsterdam"
2017,1,8.495816364309515,"Amsterdam"
2017,2,8.532713303679742,"Amsterdam"
2017,3,8.525705794947994,"Amsterdam"
2017,4,8.237480063795852,"Amsterdam"
2017,5,8.306798328902392,"Amsterdam"
2017,6,8.442272347535505,"Amsterdam"
2017,7,8.370278532608696,"Amsterdam"
2017,8,8.375,"Amsterdam"
2015,8,8.49500193723363,"Barcelona"
2015,9,8.462990654205607,"Barcelona"
2015,10,8.407776376628835,"Barcelona"
2015,11,8.651404212637914,"Barcelona"
2015,12,8.796324461343472,"Barcelona"
2016,1,8.652819956616051,"Barcelona"
2016,2,8.743870192307693,"Barcelona"
2016,3,8.703446752098984,"Barcelona"
2016,4,8.508281829419035,"Barcelona"
2016,5,8.489568345323741,"Barcelona"
2016,6,8.561790079079799,"Barcelona"
2016,7,8.564806246385194,"Barcelona"
2016,8,8.48207182320442,"Barcelona"
2016,9,8.438784903344585,"Barcelona"
2016,10,8.391965872733735,"Barcelona"
2016,11,8.58327922077922,"Barcelona"
2016,12,8.735527747551686,"Barcelona"
2017,1,8.72508377213978,"Barcelona"
2017,2,8.834744897959183,"Barcelona"
2017,3,8.657814661134163,"Barcelona"
2017,4,8.553646209386281,"Barcelona"
2017,5,8.412610697839177,"Barcelona"
2017,6,8.506039569593892,"Barcelona"
2017,7,8.454774774774775,"Barcelona"
2017,8,8.575617283950617,"Barcelona"
2015,8,8.331693283231564,"London"
2015,9,8.162923449186097,"London"
2015,10,8.10699566733594,"London"
2015,11,8.20487246225924,"London"
2015,12,8.344619319299625,"London"
2016,1,8.479228763040238,"London"
2016,2,8.476367081754196,"London"
2016,3,8.470499651810586,"London"
2016,4,8.479166301009215,"London"
2016,5,8.415080988917305,"London"
2016,6,8.354897959183672,"London"
2016,7,8.25408480681074,"London"
2016,8,8.341594996090695,"London"
2016,9,8.203782393292682,"London"
2016,10,8.27442432188806,"London"
2016,11,8.26165723108595,"London"
2016,12,8.252196574832466,"London"
2017,1,8.417132501006847,"London"
2017,2,8.443333333333333,"London"
2017,3,8.369460580912863,"London"
2017,4,8.362696650902421,"London"
2017,5,8.27053702267046,"London"
2017,6,8.308619712990936,"London"
2017,7,8.08234756097561,"London"
2017,8,8.329554655870446,"London"
2015,8,8.317194570135747,"Milan"
2015,9,8.087853470437018,"Milan"
2015,10,7.94557584269663,"Milan"
2015,11,8.077000842459983,"Milan"
2015,12,8.439337474120082,"Milan"
2016,1,8.381641659311562,"Milan"
2016,2,8.364215686274509,"Milan"
2016,3,8.393721286370598,"Milan"
2016,4,8.344597384721267,"Milan"
2016,5,8.437616183706943,"Milan"
2016,6,8.454319453076446,"Milan"
2016,7,8.457417102966842,"Milan"
2016,8,8.532079851439182,"Milan"
2016,9,8.298173768677366,"Milan"
2016,10,8.35350790513834,"Milan"
2016,11,8.373215717722534,"Milan"
2016,12,8.465347405452947,"Milan"
2017,1,8.382896652110626,"Milan"
2017,2,8.275314617618585,"Milan"
2017,3,8.308306962025316,"Milan"
2017,4,8.266881217086015,"Milan"
2017,5,8.321988427143609,"Milan"
2017,6,8.458279569892474,"Milan"
2017,7,8.395603887089312,"Milan"
2017,8,8.306542056074766,"Milan"
2015,8,8.328523825391537,"Paris"
2015,9,8.184517851184518,"Paris"
2015,10,8.151826888967719,"Paris"
2015,11,8.3290277125411,"Paris"
2015,12,8.580170316301702,"Paris"
2016,1,8.551456310679612,"Paris"
2016,2,8.62182603997839,"Paris"
2016,3,8.542582813250121,"Paris"
2016,4,8.54024441635061,"Paris"
2016,5,8.542263019857625,"Paris"
2016,6,8.376269087907552,"Paris"
2016,7,8.472126245847175,"Paris"
2016,8,8.600769230769231,"Paris"
2016,9,8.401967095851216,"Paris"
2016,10,8.31663043478261,"Paris"
2016,11,8.50575097710776,"Paris"
2016,12,8.511659991099243,"Paris"
2017,1,8.361688587187102,"Paris"
2017,2,8.54021113243762,"Paris"
2017,3,8.443047269389629,"Paris"
2017,4,8.43963963963964,"Paris"
2017,5,8.395402708481825,"Paris"
2017,6,8.279618548990276,"Paris"
2017,7,8.322784412319296,"Paris"
2017,8,8.596245733788395,"Paris"
2015,8,8.438118811881187,"Vienna"
2015,9,8.51205035971223,"Vienna"
2015,10,8.470194805194806,"Vienna"
2015,11,8.634160000000001,"Vienna"
2015,12,8.648105436573312,"Vienna"
2016,1,8.542258652094718,"Vienna"
2016,2,8.77093023255814,"Vienna"
2016,3,8.671579743008314,"Vienna"
2016,4,8.672480889506602,"Vienna"
2016,5,8.45471580262336,"Vienna"
2016,6,8.487548387096775,"Vienna"
2016,7,8.6355415860735,"Vienna"
2016,8,8.547835888187556,"Vienna"
2016,9,8.491150922909881,"Vienna"
2016,10,8.369445998880806,"Vienna"
2016,11,8.54176923076923,"Vienna"
2016,12,8.501416287303996,"Vienna"
2017,1,8.508425980105324,"Vienna"
2017,2,8.717594254937163,"Vienna"
2017,3,8.625835370823145,"Vienna"
2017,4,8.491065519523495,"Vienna"
2017,5,8.445710857828434,"Vienna"
2017,6,8.525862068965518,"Vienna"
2017,7,8.578528225806451,"Vienna"
2017,8,8.508762886597939,"Vienna"